page_title,revision_id,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
"Centre, Alabama",1164314017,C,0.22915418937277127,0.4696671274773935,0.019050333036631204,0.16818870889514,0.10793222888389403,0.0060074123341701344
"Centreville, Alabama",1172134285,C,0.22150493285595663,0.45370871453024875,0.02359517321440099,0.2503031250974229,0.0461781928319196,0.0047098614700510815
"Chatom, Alabama",1159488446,C,0.17530427157421202,0.4111968161476142,0.008579645740686986,0.16515246109927673,0.2346973253323555,0.005069480105854415
"Chelsea, Alabama",1165539092,C,0.1860694875546701,0.5790870594167216,0.00715087635957315,0.05059599415875794,0.17261645498054518,0.004480127529732058
"Cherokee, Alabama",1166017755,C,0.2353222876350843,0.4376338438187145,0.03958933956463538,0.2589091282044531,0.024090594810866332,0.004454805966246487
"Chickasaw, Alabama",1165539195,C,0.2381982696226693,0.49142159168087907,0.01953559792387585,0.20355802693869243,0.042087156075602095,0.0051993577582814384
"Childersburg, Alabama",1165539227,GA,0.2242948897689099,0.3014570819994238,0.0237887129966475,0.4177635136683123,0.028547714794937014,0.004148086771769373
"Citronelle, Alabama",1165539457,C,0.19998465781446717,0.4186571496377854,0.0102494649409929,0.31984954451341646,0.04685222865807811,0.004406954435260182
"Clanton, Alabama",1158612343,GA,0.18647731605560283,0.18748682474356806,0.0723564008386769,0.5352003960589834,0.013798257988152363,0.004680804315016353
"Clay, Alabama",1177621993,C,0.2161041730861088,0.4893106781947656,0.008893423287656113,0.02904950208668507,0.2511933508321064,0.005448872512677883
"Clayhatchee, Alabama",1166018079,Start,0.17972647215673676,0.35119189980167564,0.0070873056301900515,0.07513722871833929,0.3781162227987541,0.008740870894304162
"Clayton, Alabama",1155236230,C,0.24773139047479809,0.5291293246208131,0.024964503609936323,0.11107048987422989,0.08167290490786262,0.005431386512359893
"Cleveland, Alabama",1168466910,C,0.207956541255197,0.38135998551608724,0.006993688860704222,0.08038425554513381,0.31785338776774386,0.005452141055133977
"Clio, Alabama",1165644511,Start,0.2105427654853412,0.33324096976885387,0.006777012148459759,0.05788453981482899,0.38365342082468096,0.007901291957835316
"Coaling, Alabama",1166018304,C,0.21673138232289402,0.39804674604156215,0.008167934095557931,0.08613578195408367,0.2816902134916518,0.009227942094250409
"Coffee Springs, Alabama",1166018326,Start,0.2147115093389001,0.32484594826557367,0.007108593334422566,0.03397657646855527,0.40984454644050716,0.00951282615204125
"Coffeeville, Alabama",1166029689,C,0.18110242282585834,0.297637087059394,0.008948956062733576,0.24209232647645337,0.2604122051771564,0.009807002398404473
"Coker, Alabama",1166018360,Start,0.12537231417041328,0.31999174696259275,0.007033810557595747,0.057157579301024525,0.4800697595206641,0.010374789487709726
"Collinsville, Alabama",1177947751,C,0.1598473259635742,0.4326788505107277,0.009220026167281417,0.3188077392573131,0.0750214172708001,0.004424640830303456
